scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
526849,INE655B01011,BANARBEADS,BANARBEADS,Banaras Beads Ltd.,B,74.49,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,NIFTY 500,2026-03-13,2026-03-13
526885,INE453D01025,SARLAPOLY,SARLAPOLY,Sarla Performance Fibers Ltd,B,649.82,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
526921,INE253B01015,21STCENMGM,21STCENMGM,Twentyfirst Century Management Serv,B,35.97,Micro Cap,2026-03-13,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,-,2026-03-13,2026-03-13
526947,INE059D01020,LAOPALA,LAOPALA,La Opala RG Ltd.,B,2109.0,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Glass - Consumer,NIFTY 500,2026-03-13,2026-03-13
526951,INE239C01020,STYLAMIND,STYLAMIND,Stylam Industries Limited,B,3771.28,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,-,2026-03-13,2026-03-13
526953,INE411B01019,VENUSREM,VENUSREM,Venus Remedies Ltd.,B,1177.83,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
526987,INE550C01020,URJA,URJA,Urja Global Limited,B,476.06,Micro Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,NIFTY 500,2026-03-13,2026-03-13
530001,INE186A01019,GUJALKALI,GUJALKALI,Gujarat Alkalis & Chemicals Ltd.,B,3201.85,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,NIFTY 500,2026-03-13,2026-03-13
530017,INE173A01025,SIL,SIL,Standard Industries Ltd.,B,90.19,Micro Cap,2026-03-13,Consumer Discretionary,Realty,Realty,Real Estate related services,-,2026-03-13,2026-03-13
530023,INE924D01017,THEINVEST,THEINVEST,THE INVESTMENT TRUST OF INDIA LIMITED,B,521.12,Micro Cap,2026-03-13,Financial Services,Financial Services,Finance,Other Financial Services,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
530067,INE718F01018,CSLFINANCE,CSLFINANCE,CSL Finance Limited,B,553.28,Micro Cap,2026-03-13,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),-,2026-03-13,2026-03-13
530073,INE989A01032,SANGHVIMOV,SANGHVIMOV,Sanghvi Movers Ltd.,B,2025.88,Micro Cap,2026-03-13,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,NIFTY 500,2026-03-13,2026-03-13
530075,INE818A01017,ANTELOPUS,ANTELOPUS,Antelopus Selan Energy Limited,B,1951.69,Micro Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,-,2026-03-13,2026-03-13
530135,INE350C01017,OPTIEMUS,OPTIEMUS,Optiemus Infracom Limited,B,3097.01,Micro Cap,2026-03-13,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,NIFTY 500,2026-03-13,2026-03-13
530199,INE083B01024,THEMISMED,THEMISMED,Themis Medicare Ltd.,B,741.96,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-,2026-03-13,2026-03-13
530239,INE495B01038,SUVEN,SUVEN,Suven Life Sciences Ltd.,B,3174.26,Micro Cap,2026-03-13,Healthcare,Healthcare,Healthcare Services,Healthcare Research Analytics & Technology,-,2026-03-13,2026-03-13
530299,INE823A01017,KOTHARIPRO,KOTHARIPRO,Kothari Products Ltd.,B,377.05,Micro Cap,2026-03-13,Services,Services,Commercial Services & Supplies,Trading & Distributors,NIFTY 500,2026-03-13,2026-03-13
530305,INE546C01010,PICCADIL,PICCADIL,Piccadily Agro Industries ltd.,B,5269.63,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,-,2026-03-13,2026-03-13
530307,INE419D01026,CLSEL,CLSEL,Chaman Lal Setia Exports Ltd.,B,1209.58,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,-,2026-03-13,2026-03-13
530355,INE276G01015,ASIANENE,ASIANENE,ASIAN ENERGY SERVICES LTD,B,1235.33,Micro Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,-,2026-03-13,2026-03-13
530363,INE071E01023,UGARSUGAR,UGARSUGAR,Ugar Sugar Works Ltd.,B,423.68,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,NIFTY FMCG,2026-03-13,2026-03-13
530365,INE607D01018,ORIENTBELL,ORIENTBELL,Orient Bell Limited,B,403.95,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,NIFTY 500,2026-03-13,2026-03-13
530367,INE349A01021,NRBBEARING,NRBBEARING,NRB Bearings Ltd.,B,2521.93,Micro Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
